CODE,PERIOD,NR_TRIPS Y,NR_TRIPS N,DatabaseReleaseDate
MUR,2020015,1601,1911,20200715
MUR,2020016,1680,1938,20200715
PET,2019037,1464,1,20200715
PET,2019038,1474,0,20200715
PET,2019039,1499,0,20200715
PET,2019040,1636,0,20200715
PET,2019041,1603,0,20200715
PET,2019042,1668,0,20200715
PET,2019043,1644,0,20200715
PET,2019044,1713,0,20200715
PET,2019045,1611,0,20200715
PET,2019046,1463,0,20200715
PET,2019047,1486,0,20200715
PET,2019048,1865,0,20200715
PET,2019049,1605,0,20200715
PET,2019050,1546,0,20200715
PET,2019051,2057,11,20200715
PET,2019052,2119,52,20200715
PET,2020001,1701,19,20200715
PET,2020002,1640,5,20200715
PET,2020003,1573,58,20200715
PET,2020004,1580,53,20200715
PET,2020005,1509,77,20200715
PET,2020006,1411,77,20200715
PET,2020007,1583,83,20200715
PET,2020008,1615,76,20200715
PET,2020009,1572,90,20200715
PET,2020010,1684,92,20200715
PET,2020011,1791,77,20200715
PET,2020012,1740,110,20200715
PET,2020013,958,47,20200715
PET,2020014,928,68,20200715
PET,2020015,945,65,20200715
PET,2020016,1188,89,20200715
PUB,2019037,21489,0,20200715
PUB,2019038,21190,0,20200715
PUB,2019039,21809,0,20200715
PUB,2019040,23652,0,20200715
PUB,2019041,24088,0,20200715
PUB,2019042,24052,0,20200715
PUB,2019043,24444,0,20200715
PUB,2019044,25301,0,20200715
PUB,2019045,23049,0,20200715
PUB,2019046,23803,0,20200715
PUB,2019047,24997,3,20200715
PUB,2019048,24308,20,20200715
PUB,2019049,22077,9,20200715
PUB,2019050,22239,25,20200715
